Position,Rating,Review Title,Role,Pros,Cons
369,4,"Employees matter, management cares, still a growing company",Anonymous employee,"The land of opportunity with endless possibilities. Not a perfect company, but we've grown a lot over the years and now are moving towards a new era of positive changes and a well-defined direction. The vision is clear, management wants to make it a better place for employees. We have countless meetings run by upper management to force us to give them feedback. Yes, we are all locked in a room together to collaborate...feels like electing a pope where no one is getting out until we are done...only we have food, snacks, and breaks. They listen and make changes to improve our overall culture. Culture is pretty laid back. Facility is amazing. Benefits are improving. Great holiday parties.","No defined career paths for employees. How can I get promoted if there is no standard guideline? How can I take myself to the next level? Communication could be improved from manager level to employee. There are management-specific meetings, but seems as though information stops at the manager level. How can I help you if I don't have the full picture? Documenting our goals is always an afterthought. Telecommuting isn't really promoted. Not enough family events and no daycare."
370,3,Fun For a While,Anonymous employee,"- Super fun and great people - Strong team dynamic on some teams - Easy to get the ear of upper mgmt if you know the right people - Lets of challenges and areas to lead improvements across all functions - Relatively easy to look like a strong employee if you have basic stills (communication, documentation, follow-thru)","- Management is scattered and unclear on strategy and that shows at all levels (a lot of ""do it because I said so"" type management) - Company is complacient on current strong product lead creating lots of egos leading vs trying to look forward - Poor employee development, lots of people that have been there for years in the same type of role who are good but cannot be great because there is no movement or real direction on how to improve - Always saying to think ""global"" but no actual global execution or support from mgmt"
371,1,Intuit has ruined Sony,Anonymous employee,Working for sony network entertainment is very rewarding because you get to work on something that is in the face of millions of users. This is extremely large scale. It's exciting and fun to know that you are part of something big.,The new untouchable upper management that was pulled in from intuit is ruining this company by striking fear in everyone and firing good employees. Mediocre VPs with no experience bring in directors of engineering who have never been an engineer just does not make any sense. It's hard to respect directors who acts with a brute force without even understanding the perspective of others. They completely threw away everything we have been working so hard on and come into the company demanding to rebuild everything for the sake of rebuilding. The moral is really low in the company and it kills any innovation because we have no freedom to innovate.
372,3,"They care for customers, not so sure about employees",Technical project manager,"Hands on with gaming consoles and games. The company strives hard to keep customers/gamers happy by keeping content fresh and introducing new technologies. Lots of talented and passionate employees work here. The ""cool"" factor about working at a gaming company, your family & friends flock towards you at parties/gatherings.","The gaming community as a whole are very spoiled customers compared to other industries. They get to whine and complain about the smallest details about games and consoles that will cause the Nintendos/Microsofts/Sonys to have knee-jerking reactions to their strategies and decisions. This often comes at a price of causing stress to employees in forms of constant team restructuring, projects being in constant flux, management changing directions, layoffs and OFFICE POLITICS. If you can't handle being thrown under the bus or not being sure whether people are talking $h!t behind your back, don't work here or at any gaming company!"
373,1,Not Bitter Just SAD,Character artist,Worked on many KICKASS games with some awesome people.,"Worked for the company as a ""Contract"" employee for 8 years. To get around the laws of California they would ""lay me off"" for a few months then have me back so they didn't have to pay for my benefits. I loved what I did but management refused to give reviews, pay raises or hire me on full-time even though the position was available and I had received a Masters Degree in the same field. That all isn't the worst. The worst was after 8 years they ""ghosted"" me. Basically, they told me they were going to lay me off for a few months, then when I contacted them repeatedly for when my start date was...NO RESPONSE. I thought these people were my friends ...The biggest slap in the face was my job was posted on their website 3 weeks later. ....Thanks Sony San Diego!"
374,5,"Great gamer culture, great growth opportunities, some shortcomings",Product manager,"- Great educational, medical and transportation perks - Great bonuses and employee discounts on PlayStation and Sony products - lots of opportunities to travel overseas, particularly to Tokyo or London - Supportive leadership that Lets employees explore different Career paths and grow - Passionate coworkers who love gaming and are really into what they are doing - a low-conflict environment with a Strong drive for consensus and respect - Agile development practices with continuous improvement, hackathons and quick adjustments based on lessons learned - work from home opportunities in The U.S. and management focused on Results, Not attendance - a quirky and creative environment typical of The gaming industry - a company that encourages playing games at work - a very approachable CEO and most other top leaders - lots of women in leadership positions, even in Japan (mostly up to Sr. Director level but also some VPs)","- Incompetence is sometimes tolerated indefinitely, true to the life-employment model of Japan - Managers frequently lack the most fundamental people management skills and don't know how to motivate their employees - Lack of open conflict leads to a lot of back-channeling, politics and having to read between the lines - In the Tokyo office, expectations about work hours are insane and no one can work from home, which leads to female workers still largely being forced to choose between having career success and being single, or having a decent but unimpressive job at PlayStation and having a family - The super-Agile style of the San Fransisco office frequently clashes with the Waterfall thinking of Tokyo - As of 2018, analytics is still not a big part of decision making and a lot of product managers are weak - Employee performance management is unpredictable and convoluted. There are no company-wide OKRs and it's hard to understand how performance goals are measured"
375,2,"Sometimes fun, but often a let down",Anonymous employee,"So many of the people are incredible and the products are really fun. The games, the people, the culture of play could make it into a terrific place to work... But","There's massive chaos right now on what the company will become. They've had three new CEOs in 18 months, and their Network still lags behind the competition. Overall, the company is in major upheaval, which is surprising and often creates some major confusion about where one fits. Companywide functions are really underpowered -- some are barely even paid attention to while others dominate. So often, stuff happens with in one function in a complete silo, and then it breaks across other groups."
376,3,Volatile environment with no respect for employees,Anonymous employee,"There are some very talented people at SNEI in San Diego who work hard to achieve results, believing in doing the right things. The business has challenging goals to achieve and they will likely succeed with proper attention to delivering experiences to beat their competitors. Salary is good and the onsite gym is great. Culture there is fast-paced but allows for company outings to get to know your colleague and just to have a good time.","The business is volatile and can be crushed easily by their competitors if not done correctly. The turn-over is high and I've seen people let go immediately with no notice and there's a hush-hush attitude about it. Work environment is fierce so you have to be careful whom you may disappoint or else management will easily let you go, I've seen it with my own eyes."
377,5,Wonderful place to work!,Anonymous employee,"SNEI is a great place to work. This division of Sony only started about 6-8 years ago, as opposed to SCEA which has been around a while. Anyway, because its new, you feel like it almost has a start-up feel to it even though its such a well-established company! People really care about your growth here, they want to hear your opinion and your input, and they are very smart people! They're also super down to earth. The quality of work is amazing you get to work on an entertainment platform - games, movies and music!! I definitely give it the highest rating!","There are always some negatives to a job (certain employees, processes' etc) but its all what you make of it. Its like taking the bad with the good, but generally I see everything is pretty great at this place"
378,4,Good place to work for but effective management is a bit lacking.,Anonymous employee,Working at PlayStation is pretty fun if you love video games. The work environment is laid-back in general. The company is not a stickler for when you get in or leave. People are pretty understanding if you need to leave early for personal reasons or need to take a few days off for vacation. The employees are nice and it's relatively easy to become close to the people you work with.,"In the time I've worked here, I've come to realize the company is not as organized as you hope it would be for such a big corporation. Communication is lacking and sometimes things aren't done effectively or on time because of this. I think this partly has to do with how many people are involved in one project. With so many people, there is a tendency for projects to lose focus because there is not one person or group taking ownership."
379,3,Lots of weekends!,Merchandising field representative,Anything that PlayStation makes you get for free! Very generous PTO policy. Company is closed between Christmas and New Years with pay. Cool products and great brand recognition. Merchandisers get to make their own schedule with some parameters.,Being a merchandiser used to be a fun job. You got to meet different people and every day was different. But now all we do is go to the same store every weekend and demo VR. My work life balance has gotten really bad. I work almost every weekend and I often work 8 days in a row or more because I am still expected to perform my normal duties along with the weekend work. I am getting burnt out.
380,1,"Good People, Terrible Management",Senior software engineer,- large-scale - really Great engineers - Weekly lunches - benefits,"- 25% of the advertised compensation was a yearly bonus. Don't be fooled. Depending on when you join it might be 1.5 years before you get it. - Also, if they decide you are not worth what they're paying, which base salary is already below average, they will string you along until just before bonus time and cut you with 0 days warning. - Also, and this is a first that I've ever heard of in the Bay Area, no severance whatsoever. Yes, none at all. Nothing. No 2 weeks pay, no warning, no here's rent money until you find something. Just, don't show up any more. - They work you like a start up but you have none of the creative input. - Management is incompetent and out of touch with the technologies and decisions. - Politics. A friend who spearheaded a major initiative to change the entire server deployment process, working day and night, did not get a promotion while the manager is taking all the credit."
381,2,"Used to be great, recently lost its way",Anonymous employee,"- The individual contributors are very good. They're smart, driven, and very easy-going. - The benefits and perks as part of the Sony family are great: Good health plans, huge discounts on sony products, free playstation games, etc. - Workers are encouraged to develop their skills by learning new tech and attending training and seminars. - Work / life balance is great. People are given flexibility as long as the work gets done. - Office culture is relaxed and casual.","- with one or two exceptions, middle management is Toxic, tribal, and self-serving. - Zero opportunity to move up in your Career - Pending merger with SIE is causing dread and rumors about job security, made worse by silence from Upper management. - office space is outdated and falling apart, management has no plans to do anything about it."
382,3,Used to be a good place to work.,Anonymous employee,"The people were good. Discount on Sony products. Occasional in-house happy hours. Ability to watch some movies pre-release. Without question, the company brand name was good.","Once the Sr Mgmt crew (all formerly from another well known company in the area) came in and took over things started to go downhill. The company used to support Scrum but started doing things that seemed to be very contrary to agile practices. The attitudes of the new ""leadership"" was very negative, at least towards existing SNE employees. They were better with the ones they brought in from their former company. This caused many to feel they were being adversarial."
383,1,Awful company with fake people,Operations analyst,Free games and that's it,"Everything, payment , management, work hours , yoh"
384,2,Independent place that lacks direction and vision,Anonymous employee,"Informal atmosphere, good benefits, good time off. People can be very friendly.","The company feels like it lacks direction. A great deal of bureaucracy strangles innovation. Company feels like it's loosing it's competitive edge in the age of online gaming. HR is a nightmare. No solid plan for advancement within the company. Company doesn't mentor. HR has no strategy in place to retain top talent. Pay is low. Talent is mediocre. Japanese style hierarchy and decision making structure is out of place in Silicon Valley. The company ""events"" have become an embarrassing joke (karaoke in the parking lot anyone?)."
385,1,Intuit Mafia is ruining SNEI,Anonymous employee,Sony has a good work/life balance. SNEI revenue is growing rapidly and should continue to do so for at least the next year or two. Most people working there who are not former Intuit employees are good people to work with.,"Over the last year a new executive in the San Diego office has been aggressively clearing out people and installing yes-people from Intuit. We're not just talking about clearing out people that perhaps needed to go, but clearing out anyone that asks questions. The entire atmosphere of innovation, collaboration, and desire to produce the best result for the company has been replaced with one that punishes innovation and enforces conformity and acquiescence over all else."
386,1,It's all a ploy for cheap labor,Intern,"Having PlayStation on your resume is cool, telling your friends about it is cool, and the free swag is cool.","Don't expect to be valued as an actual part of your team. I was often left with no projects and when I asked for more, my peers and manager would tell me they were busy and I couldn't help them. There was a lot of politics even from an intern level. Although the dress code is laid back, the culture in general is not. I saw many team members staying late to meet deadlines and could feel the stress in the air. Sony will tear you apart and does not value their employees. It also sucks because they offer a lot of contract roles and you never know what your status may be with that. Very little information was offered to me in my performance review and I was never told how I could improve or what could have gone better."
387,2,Toxic,Anonymous employee,"Working on PlayStation and being a part of the video game industry. The PlayStation ecosystem is always on the cutting edge, and the time I spent there was during the PS4 launch so it was doubly exciting. The passion and enthusiasm many of the employees have for what they're doing is unrivaled. It wasn't uncommon to find people who just loved what they did.","Management was terrible. The value of human resources was lost on many people, and the people in positions of power were too interested in saving face to make sure their workforce was being managed and treated properly. There were countless situations where management was aware of a terrible work environment but actively avoided the subject and did nothing to rectify the situation."
388,3,Good place to learn,Senior engineer,"Good place to learn, gain experience and make connections. The London office is in central London with a lot to do nearby, great restaurants and culture. You work for Playstation which people are generally know and interested about. You work with game studios and technologies that will be used in future games and media. The culture is inclusive, you will find many different looking faces here. There was no crunch and a pretty good work-life balance in my team.","Lot of company politics to deal with, secrecy and distrust between different teams. Lots of emails on the start of day and multiple meetings per day that are unproductive. Collaboration between different regions is sparse. Some internal systems that are being used are ancient. Salary is a joke, people working at Playstation are often living in house shares in London, and you will not be able to save up on an Engineer salary."
389,3,average company,Business operations manager,"I worked as Department Operations Manager. Average employee experience compared to other companies in the Bay area. HR people are nice and receptive but a mouthpiece for the Sr Directors and VPs- forget employee advocation! Nice HQ, good holiday parties. Good learning module on employee central. Legal people are also very collaborative and friendly. Good Pay and bonus.","Facilities workers are efficient but the managers are totally narcissistic. R&D department is run like a concentration camp. Have no idea how to efficiently manage people. Slave drivers rather than inspiring team to engage. Very Very hierarchical, political charged culture, employees with Japanese background are favored and not reprimanded- high level of Nepotism. Not at all entrepreneurial. Employees not promoted based on merit, but based on their national origin (or who they know)."
390,4,SCEA sucks,Anonymous employee,"Benefits, culture, free food and drinks, parties, my management is awesome (YMMV), opportunity to explore different things, some work from home, flexible hours, tons of paid time off.","Perks like holiday parties are declining, upper management cuts money on necessary small return items and spends liberally on unnecessary stuff; high turnover and onboarding of every single application anyone wants creates a lot of work and hemorrhages money, but they cut spending on office cleaning and other minor expenses. Merging of SCEA and SNEI has been appallingly inept and there has been little or no engagement of stakeholders for anything."
391,2,"Formerly a good workplace, now going down hill.",Anonymous employee,Discounts on the limited selection of first party games.,Pay isn't great when they're trying to compete and act like a tech company. Benefits are mediocre and don't compare to other companies in the area. Big distinction in work place benefits compared to their first party studios. No employee development or major support towards paying for education. Educational support is on the low end.
392,5,Best Place I've Worked to Date,Information security engineer,Sony Interactive Entertainment evolves and changes to improve not only innovations to become more profitable but I really feel like they care about their employees. They continue to improve processes and policies if they aren't successful. Fantastic benefits package Emphasis on work/life balance Great coworkers - lots to learn from others There is a sense of community to solving problems (lots of support from others) Wonderful company goals that are actually strived for,"At least in my department, meaningful self improvement training budget has been cut which is a bummer. As in many places, opportunities for advancement are limited but there is a balance to be met here between becoming too management heavy but I think SIE does a fair job of figuring that out. I really respect the executive team and believe they have a good vision for the company, however there are some middle managers that tend to play politics instead of focusing on improvements."
393,2,"Company with good perks, but the system is suffering from a lot of growing pains",Brand manager,Good perks if you are a gamer. Benefits package is alright. The company is an industry giant and has market leadership.,"The system is so entrenched in a kind of boys club attitude. Time spent in the company, deference to leaders, and maintaining the status quo are the main concerns. You will be thrown out if you do not move with the grain or if you question how things are done or try to think outside of the box. The way they treat contractors is embarrassing. Pay is much lower than a good majority of the Bay Area companies. The benefits package is alright, but there are no stock options. The company is still smarting from globalization and if you are on a global team, you can pretty much kiss your work-life balance goodbye."
394,1,Don't apply if you want to progress,Functional tester,Games given out to staff on launch date for free. Occasional raffle for freebies. Cake table at end of the month.,"Unless you're in a certain circle of people don't expect to get an interview for a promotion, even if you've worked hard at the company for years. People are promoted based on favouritism and not experience/skills which leads to some staff lacking in skills to manage a team. Certain seniors abuse their position and treat testers like children, some going so far as to bully staff and get them into trouble. If a person is favourited they can get away with pretty much anything, even if a higher up witnesses them doing something bad. Test floor gets super toxic whenever a new position gets announced and some staff don't hold back on saying what they think of others capabilities."
395,2,Sr. Designer,Senior designer,"Very nice campus. Good benefits. Nice cafeteria. Some fun perks like monthly $10 game vouchers and discounts on hardware. A week and a half shut down during the holidays which is good for full-time employees, but not contractors (which don't get paid).",Some inexperienced employees waste multiple team's time and energy by being reactive and flip-flop in their decision making. This wastes time and energy for multiple teams and is frustrating to be effected by inexperienced employees with too much power. Pay is below market rate and hours are inflexible (9am-6pm).
396,4,Cut your teeth,Cinematic animator,"Projects, people and location. You will be able to apply to a huge selection of studios if you spend a few years here.","Contract oriented, static pay, no upward mobility or broad knowledge learned. If you want to focus on the core of being a cinematic animator, you do that here. Get in some beach time while you are at it because you may not want to wait five years to move up the ladder or get a raise. It is a well known fact in the studio that you have to leave and come back to get a meaningful raise, and you might find yourself priced out of the studio with how competitive the rest of the industry is now."
397,2,Not a place for ambitious people,Engineer,"* Amazing product (PlayStation!!!) * If lucky, you get to work on very visible parts of the products * Get to try pretty cool games or tech (Morpheus) * Nice campus","* Work/life balance can be poor - a few people do all the work - others do the minimum * Don't even think about being a contractor there: you will be treated like garbage * All key decisions are made in Japan, no involvement of US people in the decisions * Impossible to have a relevant role or any ambition - dead end for your career * Low compensation compared to the rest of Silicon Valley * Management aware of all these problems - not doing anything about it."
398,5,work hard....have fun,Anonymous employee,"The culture here is pioneering. Not quite a startup anymore, rather an organization striving to grow. Not for everyone. People who excel here are ingenious, see around corners, have an â€œanything is possibleâ€ outlook, live for the mission, are cool to work with, possess tons of resilience and are really top in their craft. Personally, have a great boss, great team and super cool work to do. It's not by any stretch an easy job - but it's one where I make a difference every day and have fun doing it.",The org is behind in building out infrastructure and systems. Organizations have a lot of autonomy - but it also results in silos.
399,2,"Major Issues - Too Many 'Lifers', and Not Open to Change!",Anonymous employee,Decent benefits package Ok work/life balance Relative Flexible Schedule,- Employees that have been there a long time no longer have to prove themselves. Too many old fat cats. - New employees are held to a different standard. - There are double standard and unfairness in how employees are treated. Too many old 'cliques'. Somewhat like high school. - Communication from ANY management level is sorely missing. - Change is at a snail's pace.
400,3,Enjoyable at times yet taxing almost always,Anonymous employee,- I get to work with a product I've grown up with and love. - I get to work with some of the coolest people I've ever gotten to know. - The team you get really starts to become family after a while.,"- Favoritism is a huge issue here and the only ones promoted are those on the inside, not the qualified. - Management doesn't really disclose things that are pertinent to our job ahead of when we'll need the information. - We're often left blindsided by some of the issues that happen and our stats are used against us even if it's a new issue that we don't know how to resolve. - The turnover rate here is pretty high and good agents leave due to management's lack of transparency/flexibility or other stupid reasons."
401,5,Great place to work with exciting products touching millions of users,Senior manager - product management,"Once in Sony, you will have a hard time leaving, it is hard to beat when the products and services you are in charge of affects millions of people around the globe. Lot of opportunities to grow and at the same time enhance exciting products and services. Great and smart people. International culture and opportunities for working abroad.","Being part of a huge organization often also unfortunately mean slower in many aspects as there are more stakeholders and customers to consider and keep happy, which can be frustrating. Large old solutions that takes a lot of time to change and keep up to the changing market."
402,4,Very nice company with dedicated enthusiastic employees,Anonymous employee,"Company culture overall is great. All employees want to or think they are doing the right thing, very few really bad apples (tho some incompetence). People really are company's strongest asset. And of course PS4 is such a great product to be associated with. Business is booming and lots of excitement over new SIE formation.","Some employees need more guidance than they're getting. Still seems like poor performance (behaviours that are self-promoting rather than for the good of the business) is not sufficiently counseled to stop. Lots of valuable time wasted this way. Also, poor performers need to have good workers cover their poor performance, further setting the company behind."
403,3,A great industry somewhat undone by over-reliance (and staffing) at the senior management level,Finance,"Sony is a company with a rich brand history and this makes for an interesting work environment. The video game industry is still in growth mode, which creates an environment where contributions can be made at all levels (of course, provided that management allows for such contributions to be made). Entertainment is a integral part of people's lives and working for a company that develops entertainment product puts one ""front an center"" in this part of lifestyles. Benefits are reasonably good at Sony and the fact that many video game companies, including Sony Computer Entertainment America, are closed over the Christmas holidays is a nice perk.","Room for advancement is limited, particularly in certain functional areas. Japanese run leads to some complications when trying to address US or European markets."
404,4,Great company on the cusp of being Excellent,Anonymous employee,"The products we work on are amazing, innovating, and inspiring The benefits are great Lots of vacation time to decompress from working hard Having all the technology available to complete your work Management encourages initiative and responsibility, you're not just a cog","Growth opportunities can seem slower, not provided, or not communicated how to achieve. Sometimes someone from outside takes a position in which an internal promotion would have been a better fit. Trickle down of information lacking. There are lots of innovative, exciting things happening and new directions SNEI is moving, but this information sometimes doesn't trickle down. Try to bring those high level meetings back down to the employees."
405,4,Great benefits and salary,Anonymous,"The benefits and stability here are great, especially for a company in this field. And, this is from someone who was laid off. They are also one of the top game companies, when it comes to paying their full time employees a good salary.","Although their salaries are great, the raises aren't, even with top yearly review scores. Over the course of 6-7 years, I received a total 9% raise. The actual salary was still better than all other places, but in a better market, I probably would have looked elsewhere. #2 absolutely no career advancement opportunity. Everyone is pretty much locked in place."
406,4,Fun and challenging company with a bit of an addiction to managers.,Anonymous employee,"- Very laid back environment - Challenging work - Small, fast-moving teams - Get to work with and develop some extremely cool tech - Since being acquired by Sony, work hours have been reduced to ""normal"". - Lots of company sponsored events for the employees.","- Company is a bit ""top heavy"". It feels like every new person who gets hired is a manager or a manager or managers. Most of which, I am not even really sure what they do on a day to day. - The release process is a bit painful, but it is improving."
407,5,Good Company with a little too much management,Programmer,"- Incredible people (intelligent and creative) to work with - Amazing work/life balance. The occasional worked weekend is sometimes given back in lieue (worked two weekends in 5 years - one was returned). - Generally cool with semi flexible hours. 8:30-5, 9:30-6 or anything in between.","- some of The projects have a lot of management, and its Not really obvious what all of them do. - Legal is a joke. they do Not actively know what The requirements are for a lot of games, but tend to simply require The harshest restrictions possible. Advice: never suggest anything to legal. get them to return specific requirements."
408,4,"Fast, fun and exciting place to be. Working on the cutting edge and possibly changing an industry.",Anonymous employee,Everyone is great to work with. Most people are smart and hard working. Plenty of team building events throughout the year. Lots of little perks.,They will work you to the bone day in day out. Expected to work long hours. There is no real structure to projects. Most of the management have unrealistic time tables. Difficult to move up in the company. A bit understaffed. On the lower pay scale for this type of company. No appreciation of the hard work accomplished when going above and beyond the call of duty.
409,2,A place to kill your time but not to develop your career future,Software engineer,flexible working hours; every year there is a holiday shutdown between Christmas and New Years day... that's the only pros I can think of...,"too many/frequent changes at management level, senior managers/directors come and go, the working experience in the same company is not recognized by itself, incapable mid-senior management team, almost the entire DB department is called Indian team which implies its recruitment might not be a fair play, too many politics at all levels, you have career future here only if your manager likes you personally, work performance has nothing to do with it...salaries of same level engineers from different groups can be a huge difference...over the long term it's a sinking ship..."
410,3,good place to get a big name on your resume,Anonymous employee,"Friendly work environment Great company perks like happy hours, company events, holidays, etc. Great brand with a lot of pride in the work, work is extremely interesting and fun Company is doing well as a whole",Do not contract here - they treat contractors differently than they do FTE. There are no guarantees you will be hired once your contract is up Very political culture as is every big company - hard to move up in the company if you do not have the right 'relationships' Management only looks at success based on team as a whole - does not look at specific individuals (aka there are a lot of terrible managers that slip through loopholes)
411,3,Lucky that games are selling so well,Software engineer,"Good salaries, benefits, work/life balance. Exciting technical problems to be solved. Engineers work well together and have respect for each other.","You know if the company has to pay for a featured review to refute the other bad reviews and blame existing problems on past management (even though new management has been around for over two years) then there is probably a problem. Almost all middle level development managers (who have been there more than a few years) have left (or fired) because of contention with upper management. Development direction is based on good principals, but lacking in details and leadership."
412,3,"Great co-workers, zero career advancement",Marketing,"- The people at PlayStation are passionate about the products we're assigned to, and its apparent in our work. We are pushed hard to accomplish a lot with little time. - There are many resources from within the company to manifest outward facing communication. - on-site gym and cafeteria.","- we work so fast, that we forget about our own careers... and HR does Not seem to care. our goals for The fiscal year are written within The last two month of The year, rendering them meaningless. - Prerequisites for promotion are vague. when a straight answer is obtained from management, The Prerequisites change by The end of The year, making promotion impossible to achieve. some employees stay in The same position for a decade (or more) before promotion."
413,2,Crummy work environment - lack of inovation,Software engineer,Some of the coworkers are really great friends and companions and fun to be around. Great for people without experience to get a head start and move up in a corporate environment.,"Terrible work life balance, 40 hours a week is considered not enough by management, which as a programmer is pretty bad. Worked for months until 8 or 9 o'clock at night plus some weekends and was still reprimanded for not working 'hard enough'. Management would intentionally steer away from new technology and favor the old just to get products out faster. Constant unrealistic deadlines set by inexperienced managers who have no knowledge of software development themselves."
414,4,"Great opportunities to learn, grow, and keep healthy W/L balance!",Engineer,"Always exposed to new and interesting topics. Plenty of opportunities to grow and learn. And the work-life balance seems very healthy overall, with a few exceptions.","Although they've made a lot of progress in recent years, there really needs to be more coordination, communication, and better organization between all the many parts of Sony. It is very challenging to work with all the different parts of the company scattered all over the world. On the other hand, it certainly makes for plenty of fun work-related travel. This company definitely has the resources to make great things happen, but still lacks the coordination among all its disparate parts."
415,5,PlayStation Europe (London HQ) Great people and culture to work for,Group marketing manager,"Dynamic and exiting working culture which doesn't overwhelm or stress employees with tight and unreliable deadlines but it encourages creativity and innovation. Also it has recently started to substantially improve how PlayStation look after its employees with initiatives such as flexible working, new facilities including a gym, or session well-being related. People there are amazing and its a classic to pop down to the canteen on Thursdays or Fridays after work to have a drink and have a laugh with your colleagues.","Rather than a con it's more a challenge the company has come across due to its impressive and fast growth over the past years, specially since PS4 launch, which has made that the company structure and some behavioural process are still catching up with that fast growth."
416,4,I enjoyed 6 of my 7 years,Anonymous employee,"Decent workspaces, new computer every couple of years, flexible hours, on-site health club and cafe, most of the employees are smart and motivated to make the best product possible.",The recent management shakeup has been driving people out of the company by telling them that everything they've done for the last 7 years is crap and it all needs to be redone. Not the way to inspire loyalty.
417,2,"Leadeship heavy, powerless engineers",Senior software engineer,- Pay is OK - bonus is Above average - socials and PlayStation consoles available if you find time to play,"- leadership heavy, powerless managers of all kinds for a single project - department Director gets The final say on every Small decision - be prepared to work Late shifts and holidays supporting production even for SW Engineering positions - people being hired (previous coworkers) without proper interview and causing lots of issues - Horrible HR tools"
418,2,"SNEIntuit ""Leadership"" is Proof of ""Be Careful What You Wish For""",Software engineering,"The overall PlayStation product line and offerings are something the employees are proud of. The engineers and the line managers are hard working and competent. The grassroots attempts of perks and innovation programs are cool. Just not fully supported by upper management. Job security and overall company performance is positive. As is the work/life balance flexibility. There are times when we need to work off hours and off holidays, but the flexibility of daily activities makes up for it.","2 years ago, there was a leadership void in San Diego. The solution was transplanting Intuit employees up a ladder rung across the board atop SNEI employees. However, the leadership above line managers are not new leaders, but simply new managers. All Intuit employees coming to SNEI for promotions in your career beware, your ""contributions"" are not completely welcomed. Simply assuming you know best without asking questions or listening to feedback is an ignorant approach to management. Force feeding architecture and projects and getting acquiescence is not a sign of agreement but simply a sign of fear and sense of hopelessness. There is no trust. Some of the new regime are decent human beings, but others are simply egotistical, arrogant, micromanaging, over their heads, inexperienced, and disconnected from human interactions outside their circle of trust. All of this goes without saying that career movement opportunities is non-existent unless you break into the circle of trust."
419,2,"Great Brand, Great People, Poor Management",Anonymous employee,One of the coolest brands in the world and amazing products with a healthy financial outlook. Great people and working culture in EU.,"Middle Aged White Men's club. A lot of management have been there more than 10 years and lacking diversity in both management style and ideas. How well you get on with your seniors more important than your output. Literally no performance management, have many examples of people coasting for years doing nothing. Trying to be a global company but nowhere near in terms of organising themselves wasting loads of resources and time. IT services in Europe stuck in 90s (example migrated from Lotus Notes to Outlook only 3 years ago!)"
420,2,Burnout Culture and Bad for Women,Anonymous employee,"PlayStation is a great place to work for anyone who wants to make a serious career in the gaming industry. Having PlayStation on your resume opens a lot of doors. You should also consider PlayStation if you prefer an indirect conflict resolution style because the company culture discourages open confrontation and disagreement. A lot of alignment is done through back channels. Lastly, PlayStation is a good place for anyone interested in the Japanese language or culture. Japanese is used for product development discussions on a daily basis and the corporate culture is similar to what you see at big corporations in Tokyo. There are also frequent business trips to Japan (outside of the COVID pandemic).","- Burnout Culture At PlayStation, you'll have unnecessary meetings until 8 or 9 pm three or more times a week, without anyone asking if you have small children, or what exactly your children are doing while you are stuck in unplanned video conferences. None of these meetings are useful or necessary. Most of them never even needed to be an email. They are tedious status updates that go on for 2 hours and suck the spirit out of everyone. 10 or 14-hour work days are common, and no one knows why or what for. Nothing is automated, everything is in Google sheets or 60 Slack channels. Everything is always on fire and not being available is unacceptable. Vacations don't belong to you either, and your manager will pull you into meetings during vacation time too. PlayStation seems to have imported the concept of ""karoshi"" (death from overwork"") from Tokyo into Silicon Valley. - Terrible for Women As a woman at PlayStation, please prepare yourself to have supbar maternity benefits, the least desirable projects and performance reviews filled with gender-biased language. All of the most important product development always goes to the bro-culture dudes and there is a general lack of opportunity for women. Men always talk over women in meetings and no one ever stops them. Men also attack women when they are not available for meetings due to childcare conflicts or during no-meeting hours. PlayStation isn't at all interested in supporting mothers. That said, to create an appearance of caring for womens' issues, PlayStation has a number token womens' initiatives, except they are run by men and do exactly nothing to empower PlayStation women. During the COVID pandemic, PlayStation women were hit especially hard. Managers asked mothers to take paid vacation days to support their kids' virtual school. The CEO was extremely tone-deaf and kept sending messages about his sports interests and his barbeque parties as PlayStation women came together to cry because the loss of childcare was ruining their lives and their company didn't care. A lot of the company gender discrimination seems to be based on covert patterns of gaslighting. Not promoted or empowered? It's because you are incompetent, not because you are a woman (never mind statistical data). The company has consistently refused to release gender-based pay data. If you are a woman, just say no to this company. - Horrifyingly Bad People Managers. If you haven't had your share of bullying, yelling, humiliation and continuous put-downs, PlayStation is the company for you. Old-time individual contributors get promoted to people managers and then there is no one to keep their abusive behavior in check. If you are unhappy, please prepare yourself to accept a severance package because HR will never believe you or take you seriously. - Biggest and worst of all, PlayStation leadership is incompetent and runs the company on their gut alone, while serious players come into the gaming space with analytics and data-driven insights. PlayStation is stuck in trusting its long-time ""bros"" and their gut feelings. PlayStation will go the way of Blackberry unless it wakes up."
